{a0} get {a1}	{a0} have {a1}	403	7
{a0} meet with {a1}	{a0} meet {a1}	128	12
rip {a0} at {a1}	{a0} die at {a1}	310	4
{a0} die at {a1}	{a0} have die {a1}	229	4
{a0} fall to {a1}	{a0} hit {a1}	140	6
{a0} introduce {a1}	{a0} welcome {a1}	247	3
{a0} die at {a1}	{a0} pass at {a1}	176	4
{a0} tell {a1}	{a0} warn {a1}	94	7
{a0} approve {a1}	{a0} pass {a1}	72	9
{a0} have {a1}	{a0} take {a1}	69	9
{a0} will lose {a1}	{a0} would lose {a1}	67	9
{a0} point {a1}	{a0} pull {a1}	83	7
{a0} be investigate {a1}	{a0} be probe {a1}	115	5
{a0} tell {a1}	{a0} urge {a1}	79	7
{a0} get {a1}	{a0} will get {a1}	137	4
{a0} have {a1}	{a0} say {a1}	109	5
{a0} appoint {a1}	{a0} to become {a1}	171	3
{a0} say via {a1}	{a0} say {a1}	63	8
{a0} kill {a1}	{a0} shoot {a1}	71	7
{a0} hit {a1}	{a0} sink to {a1}	120	4
{a0} propose {a1}	{a0} unveil {a1}	80	6
{a0} ask {a1}	{a0} tell {a1}	60	8
{a0} cost {a1}	{a0} could cost {a1}	65	7
{a0} meet {a1}	{a0} welcome {a1}	75	6
{a0} slash {a1}	{a0} would cut {a1}	89	5
{a0} double down on {a1}	{a0} stand by {a1}	74	6
{a0} could reverse {a1}	{a0} propose {a1}	73	6
{a0} announce {a1}	{a0} unveil {a1}	109	4
{a0} pull {a1}	{a0} suspend {a1}	85	5
{a0} threaten {a1}	{a0} warn {a1}	85	5
{a0} defend {a1}	{a0} stand by {a1}	70	6
{a0} have {a1}	{a0} will have {a1}	69	6
{a0} grant {a1}	{a0} have {a1}	57	7
{a0} discover {a1}	{a0} find {a1}	66	6
{a0} propose {a1}	{a0} seek {a1}	78	5
{a0} ask for {a1}	{a0} seek {a1}	77	5
{a0} hike {a1}	{a0} raise {a1}	60	6
{a0} lose {a1}	{a0} would lose {a1}	51	7
{a0} may to trigger {a1}	{a0} may will trigger {a1}	116	3
{a0} owe {a1}	{a0} should apologize to {a1}	58	6
{a0} cut {a1}	{a0} slash {a1}	58	6
{a0} eliminate {a1}	{a0} slash {a1}	113	3
{a0} do not owe {a1}	{a0} owe {a1}	82	4
{a0} eliminate {a1}	{a0} would cut {a1}	54	6
{a0} have {a1}	{a0} make {a1}	43	7
{a0} make {a1}	{a0} propose {a1}	50	6
{a0} seek {a1}	{a0} want {a1}	58	5
{a0} tell {a1}	{a0} threaten {a1}	41	7
{a0} slash {a1}	{a0} would eliminate {a1}	70	4
{a0} bring {a1}	{a0} take {a1}	46	6
